typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20230101","2023","1","202301","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","4","false","72.22","false","0","false",,"4207100.689","4207100.689","0","false","true",
"C","M","20230101","2023","1","202301","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","4","false","72.22","false","0","false",,"4207100.689","4207100.689","0","false","true",
"C","M","20230201","2023","2","202302","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","3","false","54.24","false","0","false",,"2935730.404","2935730.404","0","false","true",
"C","M","20230201","2023","2","202302","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","3","false","54.24","false","0","false",,"2935730.404","2935730.404","0","false","true",
"C","M","20230301","2023","3","202303","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","34000004","false","94.53","false","0","false",,"5363119.242","5363119.242","0","false","true",
"C","M","20230301","2023","3","202303","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","34000004","false","94.53","false","0","false",,"5363119.242","5363119.242","0","false","true",
"C","M","20230401","2023","4","202304","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","3","false","36.84","false","0","false",,"2167098.522","2167098.522","0","false","true",
"C","M","20230401","2023","4","202304","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","3","false","36.84","false","0","false",,"2167098.522","2167098.522","0","false","true",
"C","M","20230501","2023","5","202305","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","57.51","false","0","false",,"3331714.313","3331714.313","0","false","true",
"C","M","20230501","2023","5","202305","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","57.51","false","0","false",,"3331714.313","3331714.313","0","false","true",
"C","M","20230601","2023","6","202306","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","65.39","false","0","false",,"3913035.368","3913035.368","0","false","true",
"C","M","20230601","2023","6","202306","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710811","Metals; gold, non-monetary, powder","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","1","false","1","false","0","false",,"56401.573","56401.573","0","false","true",
"C","M","20230601","2023","6","202306","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","4","false","64.39","false","0","false",,"3856633.795","3856633.795","0","false","true",
"C","M","20230701","2023","7","202307","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","4","false","77.18","false","0","false",,"4585128.747","4585128.747","0","false","true",
"C","M","20230701","2023","7","202307","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","4","false","77.18","false","0","false",,"4585128.747","4585128.747","0","false","true",
"C","M","20230801","2023","8","202308","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","4","false","68.13","false","0","false",,"3965160.195","3965160.195","0","false","true",
"C","M","20230801","2023","8","202308","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","4","false","68.13","false","0","false",,"3965160.195","3965160.195","0","false","true",
"C","M","20230901","2023","9","202309","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","3","false","50.42","false","0","false",,"2885336.628","2885336.628","0","false","true",
"C","M","20230901","2023","9","202309","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","3","false","50.42","false","0","false",,"2885336.628","2885336.628","0","false","true",
"C","M","20231001","2023","10","202310","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"3993888.532","3993888.532","0","false","true",
"C","M","20231001","2023","10","202310","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710812","Metals; gold, non-monetary, unwrought (but not powder)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","1","false",,"false","0","false",,"57958.391","57958.391","0","false","true",
"C","M","20231001","2023","10","202310","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","65.13","false","0","false",,"3935930.14","3935930.14","0","false","true",
"C","M","20231101","2023","11","202311","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","1030794","false","80.46","false","0","false",,"4801223.803","4801223.803","0","false","true",
"C","M","20231101","2023","11","202311","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","1030794","false","80.46","false","0","false",,"4801223.803","4801223.803","0","false","true",
"C","M","20231201","2023","12","202312","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","4","false","56.22","false","0","false",,"3528064.267","3528064.267","0","false","true",
"C","M","20231201","2023","12","202312","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","4","false","56.22","false","0","false",,"3528064.267","3528064.267","0","false","true",
