typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20220101","2022","1","202201","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","89.61","false","0","false",,"5233950.957","5233950.957","0","false","true",
"C","M","20220101","2022","1","202201","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","89.61","false","0","false",,"5233950.957","5233950.957","0","false","true",
"C","M","20220201","2022","2","202202","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","81.66","false","8","kg","81.66","false","81.66","false","0","false",,"5099638.546","5099638.546","0","false","true",
"C","M","20220201","2022","2","202202","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","81.66","false","8","kg","81.66","false","81.66","false","0","false",,"5099638.546","5099638.546","0","false","true",
"C","M","20220301","2022","3","202203","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","107.13","false","-1","N/A","0","false","107.13","false","0","false",,"6629827.617","6629827.617","0","false","true",
"C","M","20220301","2022","3","202203","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710812","Metals; gold, non-monetary, unwrought (but not powder)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","1","false","0.3","false","0","false",,"15580.387","15580.387","0","false","true",
"C","M","20220301","2022","3","202203","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","106.83","false","8","kg","106.83","false","106.83","false","0","false",,"6614247.23","6614247.23","0","false","true",
"C","M","20220401","2022","4","202204","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","75.71","false","0","false",,"4619237.357","4619237.357","0","false","true",
"C","M","20220401","2022","4","202204","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","75.71","false","0","false",,"4619237.357","4619237.357","0","false","true",
"C","M","20220501","2022","5","202205","894","ZMB","Zambia","X","Export","0","W00","World","0","W00","World","H6","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","5","false","86.28","false","0","false",,"5120032.405","5120032.405","0","false","true",
